#Expected result of PDDF of file "AlAu_ih13.xyz"
#d(ang) AlAl  AlAu Total
0.025	0	0	0
0.075	0	0	0
0.125	0	0	0
0.175	0	0	0
0.225	0	0	0
0.275	0	0	0
0.325	0	0	0
0.375	0	0	0
0.425	0	0	0
0.475	0	0	0
0.525	0	0	0
0.575	0	0	0
0.625	0	0	0
0.675	0	0	0
0.725	0	0	0
0.775	0	0	0
0.825	0	0	0
0.875	0	0	0
0.925	0	0	0
0.975	0	0	0
1.025	0	0	0
1.075	0	0	0
1.125	0	0	0
1.175	0	0	0
1.225	0	0	0
1.275	0	0	0
1.325	0	0	0
1.375	0	0	0
1.425	0	0	0
1.475	0	0	0
1.525	0	0	0
1.575	0	0	0
1.625	0	0	0
1.675	0	0	0
1.725	0	0	0
1.775	0	0	0
1.825	0	0	0
1.875	0	0	0
1.925	0	0	0
1.975	0	0	0
2.025	0	0	0
2.075	0	0	0
2.125	0	0	0
2.175	0	0	0
2.225	0	0	0
2.275	0	0	0
2.325	0	0	0
2.375	0	0	0
2.425	0	0	0
2.475	0	0	0
2.525	0	0	0
2.575	0	0	0
2.625	0	0	0
2.675	0	0	0
2.725	0	0	0
2.775	0	0	0
2.825	0	12	12
2.875	0	0	0
2.925	0	0	0
2.975	30	0	30
3.025	0	0	0
3.075	0	0	0
3.125	0	0	0
3.175	0	0	0
3.225	0	0	0
3.275	0	0	0
3.325	0	0	0
3.375	0	0	0
3.425	0	0	0
3.475	0	0	0
3.525	0	0	0
3.575	0	0	0
3.625	0	0	0
3.675	0	0	0
3.725	0	0	0
3.775	0	0	0
3.825	0	0	0
3.875	0	0	0
3.925	0	0	0
3.975	0	0	0
4.025	0	0	0
4.075	0	0	0
4.125	0	0	0
4.175	0	0	0
4.225	0	0	0
4.275	0	0	0
4.325	0	0	0
4.375	0	0	0
4.425	0	0	0
4.475	0	0	0
4.525	0	0	0
4.575	0	0	0
4.625	0	0	0
4.675	0	0	0
4.725	0	0	0
4.775	0	0	0
4.825	30	0	30
4.875	0	0	0
4.925	0	0	0
4.975	0	0	0
5.025	0	0	0
5.075	0	0	0
5.125	0	0	0
5.175	0	0	0
5.225	0	0	0
5.275	0	0	0
5.325	0	0	0
5.375	0	0	0
5.425	0	0	0
5.475	0	0	0
5.525	0	0	0
5.575	0	0	0
5.625	0	0	0
5.675	6	0	6
